name,brand,category,price,ingredients,url,type,store
Vitamin B Enzyme Cleansing Oil + Makeup Remover,One Love Organics,all-cleansers,42.0,"helianthus annuus seed oil, caprylic, di, polyglycerol, carica papaya seed oil, cucurbita pepo seed oil, tocopherol, ascorbyl palmitate, papain, lecithin, fragrance",https://credobeauty.com//collections/all-cleansers/products/one-love-organics-vitamin-b-enzyme-cleansing-oil-makeup-remover-new,clean,Credo
Exfoliating Instant Facial,Goop,all-cleansers,125.0,"aloe barbadensis leaf juice, vitis vinifera juice, citrus medica limonum juice, pyrus malus juice, glycerin, caprylic, lactic acid, microcrystalline cellulose, cetyl esters, stearyl alcohol, glyceryl stearate, helianthus annuus seed oil, hydroxypropyl starch phosphate, glycolic acid, capryloyl glycerin, diheptyl succinate, coco, essential oil blend, lavandula angustifolia oil, and citrus medica limonum oil, iris pallida leaf cell extract, narcissus poeticus flower extract, sodium hydroxide, vaccinium myrtillus fruit extract, malic acid, xanthan gum, gluconolactone, tartaric acid, saccharum officinarum extract, titanium dioxide, hydroxypropylcellulose, sodium benzoate, hydrolyzed hyaluronic acid, salicylic acid, citrus aurantium dulcis fruit extract, citrus limon fruit extract, tetrasodium glutamate diacetate, acer saccharum extract, panthenyl triacetate",https://credobeauty.com//collections/all-cleansers/products/exfoliating-instant-facial,clean,Credo
Hydrating Accelerator,Josh Rosebrook,all-cleansers,35.0,"aloe vera leaf juice, jojoba oil, marula seed oil, evening primrose oil, hemp seed oil, borage seed oil, almond oil, grape seed oil, sesame seed oil, sea buckthorn oil, goji berry, ashwaganda, calendula, black cohosh, dandelion, fo ti root, alfalfa, bilberry, rosemary, turmeric, elderberry, raspberry leaf, burdock, chamo, rose hips, eyebright, beetroot, st, hawthorne ber, chickweed, licorice, coriander, horse chestnut, lavender, red clover, olive leaf, sage, thyme, vitamin e, gum arabic, vanilla extract, ylang ylang essential oil, rosemary essential oil, eucalyptus essential oil, bergamot essential oil, carrot seed essential oil, organic, wildcrafted, non",https://credobeauty.com//collections/all-cleansers/products/josh-rosebrook-hydrating-accelerator,clean,Credo
Co Q10 Toner,Indie Lee,all-cleansers,34.0,"purified water, aloe barbadensis, coenzyme q10, hyaluronic acid, anthemis nobilis, salvia officinalis, carica papaya leaf extract, cucums sativus extract, citrus aurantium flower oil, 1, ethylhexylglycerin, potassium sorbate",https://credobeauty.com//collections/all-cleansers/products/indie-lee-co-q10-toner,clean,Credo
Brightening Cleanser,Indie Lee,all-cleansers,34.0,"purified water, decyl glucoside, disodium coco, coco glucoside oleaste, hydrolyzed wheat protein, xanthan gum, fragaria chiloensis seed oil, lycopene ,1, ethylhexylglycerin, potassium sorbate",https://credobeauty.com//collections/all-cleansers/products/indie-lee-brightening-cleanser,clean,Credo
Pure E.O. Free Oil Cleanser,Marie Veronique,all-cleansers,40.0,"Carthamus Tinctorius Seed Oil, Helianthus Annuus Seed Oil, Prunus Armeniaca Kernel Oil, Decyl Glucoside, Sucrose Cocoate, Mixed Tocopherols, Sambucus Nigra Extract, Xanthan Gum, Superoxide Dismutase, Probiotics, Galactooligosaccharides, Beta, Rosmarinus Officinalis Oleoresin",https://credobeauty.com//collections/all-cleansers/products/pure-e-o-free-oil-cleanser,clean,Credo
Essential Face Wipes,Ursa Major,all-cleansers,24.0,"Aloe barbadensis leaf juice, water, leuconostoc, rosmarinus officinalis leaf, salix nigra bark extract, hamamelis virginiana pulp water, glycerin, sodium hyaluronate, levulinic acid, sodium levulinate, vaccinium myrtillus fruit, saccharum officinarum extract, acer saccharum extract, citrus aurantium dulcis fruit extract, citrus limon fruit extract, oryza sativa seed extract, camellia sinensis leaf extract, betula alba sap, lactobacillus, caprylyl, fusel wheat bran, polyglyceryl, sodium cocoyl glutamate, glyceryl caprylate, olea europaea leaf extract, pseudotsuga menziesii needle oil, lavandula angustifolia flower oil, rosmarinus officinalis leaf oil, pelargonium graveolens leaf, boswellia carterii resin extract, leuconostoc ferment filtrate, propanediol, soybean peroxidase, superoxide dismutase, citric acid, potassium sorbate, alcohol, linalool, citronellol, geraniol, limonene",https://credobeauty.com//collections/all-cleansers/products/ursa-major-essential-face-wipes,clean,Credo
Easy Does It Foaming Cleanser,One Love Organics,all-cleansers,25.0,"aqua, glycerin, sodium coco, sodium hydroxypropylsulfonate laurylglucoside crosspolymer, sodium cocoyl hydrolyzed amaranth protein, sodium cocoamphoacetate, cocamidopropyl hydroxysultaine, lauryl glucoside, pyrus malus fruit extract, pyrus malus oil, quillaja saponaria bark extract, sodium methyl cocoyl taurate, sodium hydroxypropylsulfonate decylglucoside crosspolymer, sodium cocoyl glutamate, sodium lauryl glucose carboxylate, lonicera caprifolium flower extract, lonicera japonica flower extract",https://credobeauty.com//collections/all-cleansers/products/one-love-organics-easy-does-it-foaming-cleanser,clean,Credo
Balancing Hypo Tonic,Marie Veronique,all-cleansers,45.0,"Camellia Sinensis Leaf Infusion, Beta, Panthenol, Leuconostoc, Sambucus Nigra Extract, Glycyrrhiza Glabra Extract, Acetic Acid, Sodium Hyaluronate, Cucumis Sativus Fruit Extract, Pre, Curcuma Longa, Selenomethionine",https://credobeauty.com//collections/all-cleansers/products/balancing-hypo-tonic,clean,Credo
Fantastic Face Wash,Ursa Major,all-cleansers,28.0,"Aloe barbadensis leaf juice, aqua, lauryl glucoside, coco, sodium cocoyl glutamate, caprylyl, inulin, glyceryl laurate, sodium lauroamphoacetate, gluconolactone, sodium lauroyl glutamate, xylitylglucoside, anhydroxylitol, xylitol, oryza sativa extract, camellia sinensis leaf extract, saccharum officinarum extract, citrus limon fruit oil, citrus aurantium dulcis fruit extract, vaccinium myrtillus fruit extract, acer saccharum extract, picea mariana leaf oil, pseudotsuga menziesii branch, rosmarinus officinalis leaf water, lavandula angustifolia flower water, citrus paradisi peel oil, citrus aurantifolia peel oil, artemisia ludoviciana leaf oil, juniperus virginiana wood oil, tanacetum annuum flower oil, nardostachys jatamansi oil, vetiveria zizanoides root oil, mentha spicata leaf extract, sodium phytate, PCA glyceryl oleate, citric acid, calcium gluconate, leuconostoc ferment filtrate, sodium benzoate, soybean peroxidase, superoxide dismutase, limonene",https://credobeauty.com//collections/all-cleansers/products/ursa-major-fantastic-face-wash,clean,Credo
