name,brand,category,price,ingredients
Brightening Cleanser,Indie Lee,cleansers,"

          $34.00
        
","['Water', 'Decyl Glucoside', 'Disodium Coco Glucoside Citrate', 'Coco Glucoside', 'Glyceryl Oleate', 'Hydrolyzed Wheat Protein', 'Xanthan Gum', 'Fragaria Chiloensis (Strawberry) Seed Oil', 'Lycopene (Tomato)', 'Propanediol', 'Ethylhexylglycerin', 'Potassium Sorbate']"
Ocean Cleanser,OSEA,cleansers,"

          $48.00
        
","['Aqua', '*Algae Extract', 'Decyl Glucoside', 'Sodium Lauroyl Oat Amino Acids', 'Sorbitan Olivate', '*Sesamum Indicum (Sesame) Seed Oil', '*Simmondsia Chinensis (Jojoba) Seed Oil', 'Magnesium Aluminum Silicate', 'Tocopherol (Vitamin E/Vitamine E)', '*Citrus Aurantifolia (Lime) Oil', '*Citrus Aurantium Dulcis (Orange) Oil', '*Juniperus Communis (Juniper) Fruit Oil', '*Cupressus Sempervirens (Cypress) Essential Oil', '*Jasminum Officinale (Jasmine) Oil', 'Lactic Acid', 'Xanthan Gum', 'Glycine', 'Potassium Sorbate', 'Chlorophyll']"
Regenerating Cleanser,Tata Harper,cleansers,"

          $84.00
        
","['*Aloe Vera Leaf Juice', 'Cetearyl Alcohol', 'Cetearyl Olivate', 'Helianthus Annuus (Sunflower) Seed Oil', 'Apricot Seed Powder', 'Sorbitan Olivate', 'Rice Seed Extract', 'Pomegranate Extract', 'Leuconostoc Ferment Filtrate', 'Water', 'Coco Glucoside', 'Cetearyl Glucoside', 'Rose Clay', 'Sclerotium Gum', 'Cetyl Palmitate', 'White Willow Bark Extract', 'Sorbitan Palmitate', 'Sodium Phytate', 'Denatured Alcohol', 'Benzyl Alcohol', '**Aroma', 'Benzyl Benzoate', 'Citral', 'Citronellol', 'Eugenol', 'Geraniol', 'Limonene', 'Linalool']"
Vitamin B Cleansing Oil & Makeup Remover,One Love Organics,cleansers,"

          $42.00
        
","['*Helianthus Annus (Sunflower) Seed Oil', 'Caprylic/Capric Triglyceride', 'Di-PPG-2 Myreth-10 Adipate', 'Polyglycerol-3 Beeswax', 'Carica Papaya (Papaya) Seed Oil', '*Cucurbita Prepo (Pumpkin) Seed Oil', 'Tocopherol', 'Ascorbyl Palmitate', '*Papain', '*Lecithin', 'Fragrance/Parfum']"
Fantastic Face Wash,Ursa Major,cleansers,"

          $28.00
        
","['*Aloe Barbadensis (Aloe Vera) Leaf Juice', 'Lauryl Glucoside', 'Cocoglucoside', 'Sodium Cocoyl Glutamate', 'Sodium Lauroamphoacetate', 'Water/Aqua/Eau', 'Inulin', 'Glyceryl Laurate', 'Sodium Lauroyl Glutamate', 'Xylitylglucoside', 'Anhydroxylitol', 'Xylitol', '*Oryza Sativa (Rice) Seed Extract', '*Camellia Sinensis (White Tea) Leaf Extract', 'Vaccinium Myrtillus (Bilberry) Fruit/Leaf Extract', 'Saccharum Officinarum (Sugar Cane) Extract', 'Acer Saccharum (Sugar Maple) Extract', 'Citrus Aurantium Dulcis (Orange) Fruit Extract', 'Citrus Medica Limonum (Lemon) Extract', '*Picea Mariana (Black Spruce) Needle Oil', '*Pseudotsuga Menziesii (Fir) Needle Oil', 'Rosmarinus Officinalis (Rosemary) Leaf/ Flower Water', '*Lavandula Angustifolia (Lavender) Flower Water', 'Citrus Paradisi (Pink Grapefruit) Peel Oil', 'Citrus Aurantifolia (Lime) Peel Oil', 'Artemisia Ludoviciana (Owyhee) Leaf Oil', 'Juniperus Virginiana (Cedar) Wood Oil', 'Tanacetum Annuum (Blue Tansy) Flower Oil', 'Nardostachys Chinensis (Spikenard) Root Oil', 'Vetiveria Zizanioides (Vetiver) Root Oil', 'Mentha Spicata (Spearmint) Leaf Oil', 'Sodium Phytate', 'Alcohol', 'Pca Glyceryl Oleate', 'Citric Acid', 'Gluconolactone', 'Sodium Benzoate']"
Essential Face Wipes – Bag of 20,Ursa Major,cleansers,"

          $24.00
        
","['*Aloe Barbadensis (Aloe Vera) Leaf Juice', 'Water/Aqua/Eau', 'Leuconostoc/Radish Root Ferment Filtrate', 'Rosmarinus Officinalis (Rosemary) Leaf/ Flower Water', 'Salix Nigra (Willow) Bark Extract', '*Hamamelis Virginiana (Witch Hazel) Pulp Water', '*Glycerin', 'Sodium Hyaluronate', 'Levulinic Acid', 'Sodium Levulinate', 'Vaccinium Myrtillus (Bilberry) Fruit/Leaf Extract', 'Saccharum Officinarum (Sugar Cane) Extract', 'Acer Saccharum (Sugar Maple) Extract', 'Citrus Aurantium Dulcis (Orange) Fruit Extract', 'Citrus Limon (Lemon) Fruit Extract', '*Oryza Sativa (Rice) Seed Extract', '*Camellia Sinensis (Green tea) Leaf Extract', 'Betula Alba (Birch) Sap', 'Lactobacillus/Arundinaria Gigantea (Bamboo)Ferment Filtrate', 'Caprylyl/Capryl Wheat Bran/Straw Glycosides', 'Fusel Wheat Bran/Straw Glycosides', 'Polyglyceryl-5 Oleate', 'Sodium Cocoyl Glutamate', 'Glyceryl Caprylate', 'Olea Europaea (Olive) Leaf Extract', '*Pseudotsuga Menziesii (Fir) Needle Oil', '*Lavandula Angustifolia (Lavender) Flower Oil', 'Rosmarinus Officinalis (Rosemary) Leaf Oil', '*Pelargonium Graveolens (Geranium) Leaf/Flower Oil', 'Boswellia Carterii (Frankincense) Resin Extract', 'Leuconostoc Ferment Filtrate', 'Propanediol', 'Soybean Peroxidase', 'Superoxide Dismutase', 'Citric Acid', 'Potassium Sorbate', 'Alcohol', 'Linalool', 'Citronellol', 'Geraniol', 'Limonene']"
Manuka Honey Cleansing Balm,Naturopathica,cleansers,"

          $62.00
        
","['Prunus Amygdalus Dulcis (Sweet Almond) Oil', 'Glycerin', 'Caprylic/Capric Triglyceride', 'Butyrospermum Parkii (Shea) Butter', 'Jojoba Esters (Beads)', 'Glyceryl Behenate', 'Sunflower Seed Wax', 'Theobroma Cacao (Cocoa Seed) Butter', 'Aqua (Water/Eau)', 'Sucrose Laurate', 'Lactobacillus Ferment', 'Parfum (Fragrance)', 'Mangifera Indica (Mango) Butter', 'Argania Spinosa Kernel Oil', 'Mel (Honey, Miel)', 'Pentapeptide-48', 'Cocos Nucifera (Coconut) Fruit Extract', 'Calendula Flower Extract', 'Acacia Decurrens Flower Wax', 'Hippophae Rhamnoides Fruit Oil', 'Glycine Soja (Soybean) Oil', 'Tocopherol', 'Populus Tremuloides Bark Extract', 'Lactobacillus Ferment Lysate Filtrate', 'Lactobacillus', 'Hydrogenated Lecithin', 'Polyglycerin-3', 'Leuconostoc/Radish Root Ferment Filtrate', 'Phenethyl Alcohol', 'Ethylhexylglycerin', 'Maltodextrin', 'Benzyl Alcohol']"
Purifying Face Wash,Indie Lee,cleansers,"

          $34.00
        
","['Water (Aqua/Eau)', 'Capryloyl/Caproyl Methyl Glucamide', 'Lauroyl/Myristoyl Methyl Glucamide', 'Coco Glucoside, Sucrose Cocoate', 'Glycerin', 'Spondias Mombin Pulp Extract', 'Caprylic/ Capric Triglyceride', 'Citrus Aurantium Dulcis (Orange) Peel Extract', 'Rose Damascena Flower Extract', 'Vanilla Plantifolia Fruit Extract', 'Vitis Vinifera (Grape) Fruit Extract', 'Citrus Limon (Lemon) Peel Extract', 'Eugenia Caryophyllus (Clove) Flower Extract', 'Lavendula Angustifloia (Lavender) Flower/Leaf/Stem Extract', 'Jasminum Officinale (Jasmine) Flower Extract', 'Citrus Reticulata (Tangerine) Fruit Extract', 'Arctium Lappa Root Extract', 'Xanthan Gum', 'Citric Acid', 'Sodium Benzoate', 'Potassium Sorbate', 'Propanediol', 'Pentylene Glycol (Natural)', 'Phenethyl Alcohol (Natural)']"
Cleansing Milk,Tammy Fender,cleansers,"

          $55.00
        
","['*Lavandula Angustifolia (Lavender) Flower Water', '*Anthemis Nobilis (Chamomile) Flower Water', '*Rosa Centifolia (Rose) Flower Water', 'Behenyl Olivate (Olive)', 'Stearyl Olivate (Olive)', 'Glyceryl Stearate', 'Octyl Dodecanol (Olive)', 'Beeswax (Cera Alba)', 'Decyl Glucoside', 'Sodium Myristoyl Sarcosinate', 'Cetearyl Alcohol', 'Sodium Lauroyl Lactylate', 'Sclerotium Gum (Mushroom)', 'Sodium Chloride', 'Lecithin', 'Lavandula Angustifolia (Lavender) Oil', 'Citrus Paradisi (Grapefruit) Oil', 'Citrus Aurantium Dulcis (Sweet Orange) Oil', '*Helianthus Annuus (Sunflower) Seed Oil', 'Calendula Officinalis (Marigold) Flower Extract', 'Commiphora Myrrah (Myrrh) Extract', 'Daucus Carota Sativa (Carrot) Seed Extract', 'Chamomilla Recutita (Matricaria) Flower Extract', 'Sambucus Niger (Elderberry) Flower Extract', 'Lilium Candidum (White Lily) Flower Extract', 'Polygonum Multiflorum (Fo-Ti) Root Extract', 'Glycolopids', 'Leuconostoc/Radish Root Ferment Filtrate', 'Cocos Nucifera (Coconut) Fruit Extract', 'Lactobacillus', 'Cocamidopropyl Hydroxysultaine', 'Sodium Cococyl (Apple) Amino Acids']"
Rosehip Cleanser,Indie Lee,cleansers,"

          $34.00
        
","['Water', 'Glycerin', 'Potassium Cocoate', 'Fragrance (Parfum)', 'Chondrus Crispus Extract', 'Rosa Rubiginosa Seed Oil', 'Phenethyl Alcohol', 'Pentylene Glycol', 'Propanediol', 'Xanthan Gum', 'Hexyl Cinnamal']"
